id;Review;value
65;The room was not clean there was a lot of sand on the floor of the bathroom, no tissues in the room, no sponge, no enough shampoo and they do not refill it if it was empty the room is always not clean enough and they pretend they are a 5 stars hotel;0
66;Rooms were ok but the lower end rooms look nothing like those in the photos.;0
67;The worst place to stay. If you are staying in the end rooms apparently the room does not get cold at all.. In fact the room is suffocating. After asking the front desk to check it 4 times in one day.. They kept saying its centrally air conditioned.;0
68;Our experience was terrible. The room was not clean, bed sheets had holes in it and the door handle was falling off. Also, the first room we have had was super small. ;0
69;The rooms are horrendous. I showed the reception this picture of the rooms you are advertising. He has never seen these rooms before!! Beware SHOCKING ROOMS TINY BALCONY FITS ONE CHAIR ONLY!!! AWFUL.;0
70;Small noisy rooms . Loud music.;0
71;Room arrived with broken curtain, broken tiles and cracks, filthy dirty, needed a good clean, room was full of mould. Terrible room.;0
72;Room we had was awful.;0
73;Very small and dirty rooms made our trip awful.;0
74;The first night we had to move rooms as the music from the Nightclubs that surround the hotel was awful.;0
75;This was worst ever room we had. ;0
76;The noise in are room was awful you could hear the music in the room it was like your own night club till 12am then you would hear the music till 4-5 from the street.;0
77;Room was disgusting dirty ripped sheets located above a shop or bar on the far side of the so called resort which was more like a concentration camp.;0
78;Room was terrible. it felt like we been in prison;0
79;Booked a Family room with 3 twin beds. Got here the room does not look like the one from the pictures and has a queen bed and one twin bed. Toilet flush doesn't work. YOU HAVE TO PAY FOR THE SAFE!!!! There is no manager who could help us.. and there I'd no room available to change. The wifi does not work in the room. All and all the worst experience ever…;0
80;I payed for delux room and only got a standard room. It was very small and dirty room.;0
81;The choice and quality of food was incredible, they served local Turkish tradition, Thai, American, English classics. ;1
82;Very good food;1
83;Onsite restaurant provided good mix of food;1
84;This is a very good hotel,the big chef restaurant is very good with tasty food.;1
85;Recently stayed at this wonderful hotel, Great food ;1
86;Food is fantastic with great menu, very good vegetarian food;1
87;Breakfast included is a well prepared choice of local buffet food, all nicely presented and fresh. ;1
88;We tried many different local restaurants and was never unhappy with quality of food in any of them.;1
89;The breakfast is included and has a choice of fruit, various breads, lovely home made honey, fresh omelettes and a range of continental options. Was perfect for us and we loved trying the new food on offer. ;1
90;Big Chefs do very good food ;1
91;Food is excellent;1
92;food on site is excellent.;1
93;The food is great quality, even with the menu with pictures but you actually get what you order.;1
94;the food is delicious.;1
95;quality of the food is very high. They are very delicious. ;1
96;Buffet breakfast was good with omelettes cooked on request.;1
97;Lovely and a mouth-watering breakfast buffet! ;1
98;Buffet breakfast was great as there was an excellent choice.;1
99;Breakfast was served both inside and outside and it was lovely to enjoy the view while eating.. ;1
100;Breakfast Buffett was good ;1
101;The food is also very good;1
102;Breakfasts are generous and tasty. Dinner at the restaurant was delicious!;1
103;Breakfast is good. We enjoyed our stay and dinner watching the beautiful Sunset;1
104;Dinner menu is nice and variaty of the menu is wide, i would suggest you to try lean leaves folded halloumi cheeses. Grilled chicked and the risotto were also fine and reasonable price.;1
105;Food was good at dinner and breakfast ;1
106;Although the hotel restaurant was only average for dinner, breakfast was very good.;1
107;The dinner and breakfast were a treat! A very large choice of foods that tasted almost too good. ;1
108;Dinner restaurant is really good. Breakfast however could be richer. ;1
109;The restaurants were good as well;1
110;Food was great specially the breakfast! Everything was fresh and tasty.. ;1
111;Food is not good at all, roka salad was not fresh, inside of the salmon was not cooked and came back with no apology whatsoever.;1
112;Very limited menu and if you order one single thing outside the menu you will be charged. I must admit, we could not find something very nice to eat. Service personnel and especially restaurant chef were far from being professional, not smiling at all What you pay for a coke is the ten times more than its cost in Turkey.;1
113;Food is just okay not great.;1
114;The food was bearable. Dry processed rolls and a lack of fresh produce which seems strange for Turkey which has such good fruits, herbs and vegetables. Their evening menu could benefit from concentrating on doing Turkish food well rather than western food badly. ;1
115;The food was generally cold, especially the french fries. The last evening even the pasta was cold. Obviously the had taken it out of the fridge and forgotten to heat it. ;1
116;food choice boring ate out after a couple of nights;1
117;the food horrible and the building in general disrepair.;1
118;Due to covid the food was behind screens and very limited in choice, breakfasts consisted of sloppy scrambled eggs rock hard scones salads and omelettes cooked to order if you want to queue for 20 minutes. I don’t eat bread as a rule but found myself craving toast . Lunch and evening meals - limited choice salty and samey. ;1
119;Food is like from cheap buffet, every day same. No fresh juice, alcohol is like water.;1
120;Not great, the food was terrible;1
121;The foods are salty. For water or any simple drink you have to wait 15-20 minutes. ;1
122;Eveything is dirty in the food court.;1
123;The food is barely edible and recycled very badly ;1
124;Most of the drinks are extra. Free drinks are awful.;1
125;First of all the food was tasteless.;1
126;Whilst there is a lot of food, the quality is very low.;1
127;The tables are dirty, there was food on the floor, there were plates not cleared away, at one point, I had all three courses of plates sat in front of me at the table. ;1
128;The food was dreadful. A real disappointment all round.;1
129;Buffet food isn't good nearly the same each day, hot food was luke warm.;1
130;The food quality was the worst.;1
131;Even the food was awful, some of the worst I have tasted. ;1
132;The food variety, quality is really really bad. Especially the breakfast is the worst I've ever seen in such a all included concept. We had found hair in the food for three times.;1
133;The food was eatable on some occasions, but was in most dishes very bland and very repetitive dishes that was boring me after 3 days.;1
134;Food - repetitive, bland, stale and recycled daily, turkey passed off as lamb kebab, boiled frankfurters, rubbery cheese - no cheddar, flavourless salads, horribly sweet cakes, soaked in honey and olive oil, waterlogged steamed rice, stale chips fried and retried daily at all mealtimes, eggs: boiled, fried, scrambled, omelette. Nothing catered for children and babies;1
135;Food was all cold and canteen standard. Drinks were ok.;1
136;The quality of food and drinks is very poor the juices are sweetened colored water. It was terrible.;1
137;The food is disgusting the drinks are vile and the bar staff are a joke.;1
138;The food is terrible!!! Worst Turkish food i have ever had. ;1
139;The food was bland and not very good. The same old dishes being brought out day after day until they were eaten.;1
140;They serve the same bland meals every day and do not eat any of the food before you check that it has been cooked. As 2/3 times it will be RAW!;1
141;The staff on check in were excellent, professional and friendly. ;2
142;We feel the highest hospitality level and warmness from staff. ;2
143;Great hotel! Friendly staff!;2
144;Staff are very professional.;2
145;The staff is really good and always helpful. They always have a great smile on their faces.;2
146;The staff is really helpful and always tries to fulfill your wishes! We love our stay here! Staff well trained and organized.;2
147;Service is exceptional with friendly staff. ;2
148;One of the best experience in hotel super friendly and helpful staff;2
149;Management and staff were amazing and really friendly.;2
150;The staff were all nice and would help with whatever I wanted. ;2
151;All staffs were really polite and so friendly specialty Bahar, and most of them could speak english. ;2
152;The staff and management are excellent.;2
153;The staff was super friendly and helpful making me feel very welcome even though I didn’t speak the language.;2
154;especially the staff were all so amazing that all three of us had the most amazing time.;2
155;The staff was our favorite part by far! Each and every single one was as committed to creating an amazing vacation for you as you were. ;2
156;The staff were incredible!;2
157;We can’t be thankful enough to each and every member of the staff for making it a memorable reunion for all of us.;2
158;All staff are so friendly and calm, they help you and surve you with smile ;2
159;Service, maintenance, polite and attentive staff.;2
160;Their staff is great, always smiling and helping in any manner they can help.;2
161;THE BEST STAFF EVER! This hotel has became my favourite place because of its unique staff.;2
162;Reception, customer relations, chief of restaurant and all staff are very kind and professional. I strongly advice to stay while you were at Bodrum;2
163;Staff are uniformly friendly, we didn't have one unfriendly interaction with a member of staff. Thank you to all the staff.;2
164;The hotel has a great quality and the staff is making super job ! ;2
165;Have never experienced a hotel where every single member of staff acknowledged you and treats you like royalty. Staff constantly cleaning and checking on everything.;2
166;This definitely added to the excellent service of staff in every part of the hotel. Every staff member with whom we came in contact with was attentive, kind and professional including receptionists, room service staff, ;2
167;All i can say is the staff are amazing.;2
168;The staff were the best I have ever experienced anywhere in the world for customer service, attention to detail and friendliness. The hotel management team were a dream team and constantly monitoring for the guests safety;2
169;The staff are a real credit to the hotel, all ways smiling and friendly and very attentive. It doesn’t matter where you are, they remember you and and are ready and waiting with your favourite drinks. ;2
170;I must say this hotel exceeds all our expectations, the staff are absolutely amazing;2
171;There was not enough staff to serve the food which was carried out behind screens so you had to queue waiting to be served whilst your food was going cold. I wouldn't mind it was that hot to begin with.We observed staff standing around aimlessly talking and on their phones. ;2
172;When arriving reception staff had very limited English and in my opinion was rude.;2
173;Feeding this back to reception thought out the week were rude, dismissive and inattentive. The canteen staff were a mixture of decent and and awful. ;2
174;Staff at this hotel are arrogant, rude and will not smile to save there own lives no matter how many times you say please or thank you!;2
175;Very rude front office staff , we stayed there for 10 days and during this days the front office was not helpful at all and they don't speak english.;2
176;Very slow service very rude front office staff i don't not recommend it ;2
177;Staff were extremely rude.;2
178;The staff are some of the most miserable & rudest people i have ever had the pleasure of meeting & there english is really not very good. ;2
179;The english of the staff is very poor, the staff is very unfriendly.;2
180;The staff in the restaurant was often rude and very lazy, they were usually just standing around and did not clean the tables.;2
181;Staff are rude and customer service is below average;2
182;Reception staff were very rude and seemed like they didn’t want to be there, checking in and out was very uncomfortable to say the least ;2
183;Very poor service from staff, reception to room service.;2
184;It's a shame the staff let this hotel down.;2
185;The staff are not trained to run a hotel. ;2
186;People are irresponsible, staff is never helpful.;2
187;The overall service from the check in staff to the waiters was rude and embarrassing.;2
188;The staff in the restaurant are extremely unlikeable.;2
189;The staff on reception severely lack English skills, and were vague in their answers to our queries.;2
190;Staff were unfriendly and reception did not speak English.;2
191;The reception staff were horrendous. ;2
192;All the staff were unprofessional and impolite, in some cases crude. ;2
193;The staff are absolutely rude and would not help out.;2
194;No welcome at reception on arrival. Staff unfriendly and rarely smiling.;2
195;Shocking treatment from certain staff members which is a real shame as they let down the hotel ;2
196;The front desk staff were beyond rude. ;2
197;Reception staff very unfriendly and rude.;2
198;Staff were useless and rude at reception.;2
199;The staff here are really ignorant all they want is to sell massages and when you refuse they're rude to you.Even when they do have clients they can be found behind the bar asleep while poor man waits 10 mins looking for staff!!!;2
200;Hotel staff, especially reception, speak absolutely no English! This is shocking as I have stayed in many other hotels in Bodrum and have had no issues with communicating with hotel staff. Reception had no idea what I was saying even for very basic things. ;2
201;The pool area is lovely, with a bar close by and the beach/decking area is also very nice.;3
202;Beach and pool are amazing.;3
203;We had no issues getting sun beds by the pool or beach ;3
204;The pool and the beach were equally great and the service provided at both was fantastic. ;3
205;The pool and beach area were great, and a small, but sufficient ;3
206;The pool isn't huge but fits perfectly within its location. A raised sandy beach. More than enough sun beds....and the sun beds by the pool are probably the best I have ever used.;3
207;I loved the pool area with luxe, padded sun beds and towels supplied.;3
208;We spent most days by the pool as the sunbeds are really comfy, its got its own pool bar and the pool area in general felt more exclusive and relaxed than the beach. We loved playing pool and table tennis!! The pool was great but the sea was lovely too.;3
209;The pool was great, lovely comfy beds;3
210;The pool area was beautiful. With vast amount of beds to pick up and lounge about with a nice cocktail or 2 in hand.;3
211;Sea, pool and rooms were very clean.;3
212;You can put towels out at 6 am around the pool area, service around the pool area is great...anything you need.;3
213;The pool and beach were also very good. ;3
214;The hotel is right next to the beach and has a big pool as well. Overall this pool was very beautiful.;3
215;There is a lovely outdoor pool & plenty spacious seating areas where you can relax & have a drink overlooking the beautiful Bodrum Bay. ;3
216;Spending time around the swimming pool was so nice.;3
217;Pool was also really nice and with a great view over the bay.;3
218;Swimming pool and beach are perfectly located. There is space for everyone, different areas where to relax, you can also eat and drink at anytime from the bars! ;3
219;Pool was massive and clean. I really love it.;3
220;Good sized pool and wonderful blue flag beach. ;3
221;The Pool was freezing and should have been heated I never got further than paddling my feet in;3
222;Beaches and pool are cramped. horrible stay.;3
223;We all had turkish tummy from the hotel and some had terrible rashes from the lack of pool hygiene.;3
224;The hotel's outside pool was slimy green and looked like it hadn't been cleaned in over a year. ;3
225;The jacuzzi was freezing and the indoor pool was not heated.;3
226;The hotel is such a scam. The pool is small and nothing like the picture. ;3
227;"The indoor ""heated"" pool and Jacuzzi is colder than the outside pool and they charge you 10 Euros to use it daily.";3
228;I got and others got a serious ear infection from the Pool, and a bill for nearly £200 with the hospital and the Medication and about 6 weeks to get back to normal.;3
229;The indoor swimming pool was also closed all week. It was a shame.;3
230;The private beach and pool gets very crowded.;3
231;There were no service personel at either the beach or the pool.;3
232;Beach club and pool area were overcrowded on our visit - some days we struggled to get lounger and when we visited beach club once there were no spare beach umbrellas- all were taken - however this did noticieably improve once the eid celebrations were finished;3
233;There is nothing for children except big main pool and you feel disturbed by the fact that other guests are not comfortable with that!;3
234;The pool was too small.;3
235;The pool is crowded and very small. It was a shame.;3
236;The Pool was freezing ;3
237;Beach was very dirty.;3
238;The pool was very cold and it smelled bad.;3
239;The pool was very deep. The hotel did not have a normal size pool.;3
240;There was no music playing by the pool. We are really bored.;3
241;Excellent price / value ratio providing excellent service all the time.;4
242;The price of the extra drinks in the hotel was very reasonable and cheap.;4
243;The hotel is very good for this price. We would like to come again if we get the chance.;4
244;The hotel is very cheap, the service quality is unexpectedly good for the price.;4
245;A real price performance hotel. It's incredible to stay in such a beautiful hotel for such an affordable price.;4
246;Extra drinks in the hotel were affordable. Overall we were satisfied with the prices.;4
247;Very cheap accommodation.;4
248;The prices in the menu in the A La Carte restaurant were at a reasonable level.;4
249;Indeed the hotel's beverages were reasonably priced. In general, the pricing were reasonable.;4
250;It's a good deal for the budget! In the upcoming years, we would like to return if we have the opportunity.;4
251;The price level of the shops inside the hotel can be considered cheap.;4
252;Pricing for the A La Carte menu was affordable.;4
253;Eating such good food at such affordable prices? Oh my god so good!!!!;4
254;It's a great deal for the price! In the future, we would want to return if we get the opportunity.;4
255;Prices in the A La Carte restaurant are very cheap compared to the quality of the foods.;4
256;If we look at the services in the hotel, I can say that we stayed very cheaply, we are very pleased.;4
257;We chose this hotel because the price was affordable, but we were very surprised when we saw the service quality. We really understood that the price was cheap.;4
258;In terms of hotel services, we had a great time at a great price.;4
259;Price-wise, the hotel's cuisine is a great quality.;4
260;The stores at the hotel are reasonably priced.;4
261;Prices on the menu are very expensive.;4
262;This money is too much for this hotel.;4
263;We paid 200 pounds per night, this hotel is not worth that much.;4
264;Drinks at the hotel are expensive. For this money we expected better service, frankly disappointing;4
265;They asked for an additional fee for everything during the stay at the hotel, which is really a nuisance. Too bad;4
266;The food in the hotel is of poor quality and expensive. With that much money, we could eat at a very good upscale restaurant. Surprisingly bad.;4
267;They asked for money even though we didn't use the minibar. We were disappointed and argued with the receptionist. I want my money back.;4
268;The minibar in the hotel room is very expensive. 0.33 cl of water should not be 4 pounds.;4
269;The free drinks at the poolside bar are very bad, they asked us for money for good drinks. Money trap;4
270;During our stay at the hotel, we were charged an extra cost for everything.;4
271;We paid too much money even though we didn't get any extra service. The hotel is very stingy.;4
272;The most expensive food and drinks in the world are in this hotel !!! Such high prices surprised us.;4
273;It's a disaster to stay in such a small room for this money. We paid too much money for this room, we didn't get what we paid for.;4
274;Playstation cafe in the hotel is very expensive. They wanted a lot of money for 1 hour of play. We had to pay that money for our child.;4
275;We were concerned by the extra fees. We have no plans to return. There's no point in paying for this accommodation. A very expensive hotel;4
276;Disgrace !!! Everything in the hotel is very expensive. It shouldn't be that high;4
277;They wanted money for everything. They would ask for money even for the breath we take. If we knew it was so expensive, we definitely wouldn't have come to this hotel. We regret it.;4
278;Foods are too expensive and of poor quality.;4
279;Extra charges bothered us. We do not intend to come again. This hotel is a complete waste of money.;4
280;Minibar is very expensive.;4
